"family_id","canonical_key","n_flippers","valid","n_axis","n_diagonal","n_oblique","geometry_class","mean_distance_from_s","max_distance_from_s","mean_manhattan_from_s","max_manhattan_from_s","max_chebyshev_from_s","mean_pairwise_distance","adjacent_components","n_orientations","symmetry_count","gf2_rank","nullity","full_rank","reachable_states_log2","reachable_states","solutions_per_reachable_log2","solutions_per_reachable","distinct_move_rows","distinct_move_columns","mean_move_overlap","max_move_overlap","prop_moves_overlap","prop_overlap_2plus","sd_move_overlap","mean_move_hamming","min_move_hamming","max_move_hamming","sd_move_hamming","mean_local_hamming","min_local_hamming","max_local_hamming","sd_local_hamming","mean_pair_effect","min_pair_effect","max_pair_effect","sd_pair_effect","prop_pair_effect_small","effect_mean_pair_distance","effect_max_pair_distance","effect_sd_pair_distance","comparison_group","z_spatial_dispersion","z_local_change","z_overlap_variability","z_asymmetry","z_components","structural_difficulty_score","difficulty_percentile","difficulty_rank_within_group","difficulty_band","sf_width","sf_height","sf_area","visual_max_chebyshev","visual_max_manhattan","visual_width","visual_height","visual_area","connector_cells","visible_flippers","visible_start_cells","total_visible_cells","visual_density","f_on_s","duplicate_wrapped_f","valid_for_game","visual_complexity_score","elegance_score"
10,"-2:-2|-1:-1",2,TRUE,0,2,0,"diagonal_only",2.12132034355964,2.82842712474619,3,4,2,1.88561808316413,1,4,2,25,0,TRUE,25,33554432,0,1,25,25,0.25,2,0.166666666666667,0.0833333333333333,0.596113387342175,5.5,2,6,1.19222677468435,6,6,6,0,5.5,2,6,1.19222677468435,0.166666666666667,1.88561808316413,2.82842712474619,0.816496580927726,"F2_R25",-0.155592441927251,0.786850975951619,1.8228349548786,-1.00312153209238,-1.39805059083906,0.0529213659715211,0.511627906976744,22,"medium",3,3,9,2,4,3,3,9,0,2,1,3,0.333333333333333,FALSE,FALSE,TRUE,-6.23997563401247,6.29289699998399
7,"-2:-2|-2:0",2,TRUE,1,1,0,"mixed",2.41421356237309,2.82842712474619,3,4,2,2.2761423749154,3,8,1,25,0,TRUE,25,33554432,0,1,25,25,0.25,1,0.25,0,0.43373619897468,5.5,4,6,0.86747239794936,6,6,6,0,5.5,4,6,0.86747239794936,0.25,2.2761423749154,2.82842712474619,0.478292623476201,"F2_R25",0.970610262720523,0.786850975951619,-0.536127927905471,0.762372364390212,1.39805059083906,3.38175626599595,0.86046511627907,7,"very_hard",3,3,9,2,4,3,3,9,2,2,1,5,0.555555555555556,FALSE,FALSE,TRUE,-2.67776239190423,6.05951865790017
16,"-1:-1|2:2",2,TRUE,0,2,0,"diagonal_only",2.12132034355964,2.82842712474619,3,4,2,2.35702260395516,2,4,2,25,0,TRUE,25,33554432,0,1,25,25,0.25,2,0.166666666666667,0.0833333333333333,0.596113387342175,5.5,2,6,1.19222677468435,6,6,6,0,5.5,2,6,1.19222677468435,0.166666666666667,2.35702260395516,2.82842712474619,0.816496580927726,"F2_R25",1.20385447984371,0.786850975951619,1.8228349548786,-1.00312153209238,0,2.81041887858154,0.813953488372093,9,"very_hard",4,4,16,2,4,4,4,16,1,2,1,4,0.25,FALSE,FALSE,TRUE,-3.07252562884941,5.88294450743095
1545,"-1:-1|-1:1|1:-1|1:2",4,TRUE,0,3,1,"off_axis",1.61967716615477,2.23606797749979,2.25,3,2,2.03716308916112,2,8,1,25,0,TRUE,25,33554432,0,1,25,25,0.833333333333333,2,0.583333333333333,0.25,0.800640769025436,8.33333333333333,6,10,1.60128153805087,10,10,10,0,8.33333333333333,6,10,1.60128153805087,0,2.03716308916112,2.82842712474619,0.527011014179131,"F4_R25",0.553197710950942,1.75502188559869,1.17015005204386,0.271391979495859,-0.134755835195509,3.61500579289384,0.892051557465091,97,"very_hard",4,3,12,2,3,4,3,12,1,4,1,6,0.5,FALSE,FALSE,TRUE,-2.23756203622485,5.85256782911869
26,"-2:-1|0:-2",2,TRUE,1,0,1,"mixed",2.11803398874989,2.23606797749979,2.5,3,2,2.15737865166653,3,8,1,25,0,TRUE,25,33554432,0,1,25,25,0.25,1,0.25,0,0.43373619897468,5.5,4,6,0.86747239794936,6,6,6,0,5.5,4,6,0.86747239794936,0.25,2.15737865166653,2.23606797749979,0.136293910356554,"F2_R25",0.628116775984733,0.786850975951619,-0.536127927905471,0.762372364390212,1.39805059083906,3.03926277926016,0.837209302325581,8,"very_hard",3,3,9,2,3,3,3,9,2,2,1,5,0.555555555555556,FALSE,FALSE,TRUE,-2.67776239190423,5.71702517116438
8,"-1:-2|2:-2",2,TRUE,0,1,1,"off_axis",2.53224755112299,2.82842712474619,3.5,4,2,2.35483170074866,3,8,1,25,0,TRUE,25,33554432,0,1,25,25,0.25,1,0.25,0,0.43373619897468,5.5,4,6,0.86747239794936,6,6,6,0,5.5,4,6,0.86747239794936,0.25,2.35483170074866,2.82842712474619,0.426792094261082,"F2_R25",1.19753630407616,0.786850975951619,-0.536127927905471,0.762372364390212,1.39805059083906,3.60868230735159,0.906976744186046,4,"very_hard",3,4,12,2,4,3,4,12,2,2,1,5,0.416666666666667,FALSE,FALSE,TRUE,-2.08361522728611,5.6922975346377
29,"-1:-2|2:0",2,TRUE,1,0,1,"mixed",2.11803398874989,2.23606797749979,2.5,3,2,2.35483170074866,3,8,1,25,0,TRUE,25,33554432,0,1,25,25,0.25,1,0.25,0,0.43373619897468,5.5,4,6,0.86747239794936,6,6,6,0,5.5,4,6,0.86747239794936,0.25,2.35483170074866,2.82842712474619,0.426792094261082,"F2_R25",1.19753630407616,0.786850975951619,-0.536127927905471,0.762372364390212,1.39805059083906,3.60868230735159,0.906976744186046,4,"very_hard",3,4,12,2,3,3,4,12,2,2,1,5,0.416666666666667,FALSE,FALSE,TRUE,-2.08361522728611,5.6922975346377
24,"-1:-1|1:-2",2,TRUE,0,1,1,"off_axis",1.82514076993644,2.23606797749979,2.5,3,2,1.96211650579089,2,8,1,25,0,TRUE,25,33554432,0,1,25,25,0.25,1,0.25,0,0.43373619897468,5.5,4,6,0.86747239794936,6,6,6,0,5.5,4,6,0.86747239794936,0.25,1.96211650579089,2.23606797749979,0.47449786780808,"F2_R25",0.0650154236608456,0.786850975951619,-0.536127927905471,0.762372364390212,0,1.0781108360972,0.627906976744186,17,"hard",3,3,9,2,3,3,3,9,1,2,1,4,0.444444444444444,FALSE,FALSE,TRUE,-4.45886901295835,5.53697984905555
12,"-1:-1|2:-2",2,TRUE,0,2,0,"diagonal_only",2.12132034355964,2.82842712474619,3,4,2,2.15956955487303,2,8,1,25,0,TRUE,25,33554432,0,1,25,25,0.25,1,0.25,0,0.43373619897468,5.5,4,6,0.86747239794936,6,6,6,0,5.5,4,6,0.86747239794936,0.25,2.15956955487303,2.82842712474619,0.710203496540455,"F2_R25",0.634434951752277,0.786850975951619,-0.536127927905471,0.762372364390212,0,1.64753036418864,0.720930232558139,12,"hard",3,4,12,2,4,3,4,12,1,2,1,4,0.333333333333333,FALSE,FALSE,TRUE,-3.86472184834023,5.51225221252887
32,"-1:-1|1:2",2,TRUE,0,1,1,"off_axis",1.82514076993644,2.23606797749979,2.5,3,2,2.15956955487303,2,8,1,25,0,TRUE,25,33554432,0,1,25,25,0.25,1,0.25,0,0.43373619897468,5.5,4,6,0.86747239794936,6,6,6,0,5.5,4,6,0.86747239794936,0.25,2.15956955487303,2.82842712474619,0.710203496540455,"F2_R25",0.634434951752277,0.786850975951619,-0.536127927905471,0.762372364390212,0,1.64753036418864,0.720930232558139,12,"hard",4,3,12,2,3,4,3,12,1,2,1,4,0.333333333333333,FALSE,FALSE,TRUE,-3.86472184834023,5.51225221252887
