"family_id","canonical_key","n_flippers","valid","n_axis","n_diagonal","n_oblique","geometry_class","mean_distance_from_s","max_distance_from_s","mean_manhattan_from_s","max_manhattan_from_s","max_chebyshev_from_s","mean_pairwise_distance","adjacent_components","n_orientations","symmetry_count","gf2_rank","nullity","full_rank","reachable_states_log2","reachable_states","solutions_per_reachable_log2","solutions_per_reachable","distinct_move_rows","distinct_move_columns","mean_move_overlap","max_move_overlap","prop_moves_overlap","prop_overlap_2plus","sd_move_overlap","mean_move_hamming","min_move_hamming","max_move_hamming","sd_move_hamming","mean_local_hamming","min_local_hamming","max_local_hamming","sd_local_hamming","mean_pair_effect","min_pair_effect","max_pair_effect","sd_pair_effect","prop_pair_effect_small","effect_mean_pair_distance","effect_max_pair_distance","effect_sd_pair_distance","comparison_group","z_spatial_dispersion","z_local_change","z_overlap_variability","z_asymmetry","z_components","structural_difficulty_score","difficulty_percentile","difficulty_rank_within_group","difficulty_band","test_class","playtest_order"
45,"-1:-1|-1:1",2,TRUE,0,2,0,"diagonal_only",1.4142135623731,1.4142135623731,2,2,1,1.60947570824873,1,4,2,25,0,TRUE,25,33554432,0,1,25,25,0.25,1,0.25,0,0.43373619897468,5.5,4,6,0.86747239794936,6,6,6,0,5.5,4,6,0.86747239794936,0.25,1.60947570824873,2,0.338203957451525,"F2_R25",-0.951938011374324,0.786850975951619,-0.536127927905471,-1.00312153209238,-1.39805059083906,-3.10238708625962,0.0930232558139535,40,"very_easy","2F_easy",1
1341,"-1:-1|-1:1|-1:2|0:1",4,TRUE,1,2,1,"mixed",1.51612377556149,2.23606797749979,2,3,2,1.57147766421189,1,8,1,25,0,TRUE,25,33554432,0,1,25,25,0.833333333333333,2,0.583333333333333,0.25,0.800640769025436,8.33333333333333,6,10,1.60128153805087,7,6,8,1.01015254455221,8.33333333333333,6,10,1.60128153805087,0,1.57147766421189,2.23606797749979,0.506028052453785,"F4_R25",-2.44521466768698,-1.39051734012819,1.17015005204386,0.271391979495859,-1.3423754352168,-3.73656541149225,0.101503759398496,833,"very_easy","4F_easy",2
420,"-1:-1|0:1|1:2|2:2",4,TRUE,1,2,1,"mixed",1.86967716615477,2.82842712474619,2.5,4,2,2.00219124314841,1,8,1,25,0,TRUE,25,33554432,0,1,25,25,0.833333333333333,2,0.583333333333333,0.25,0.800640769025436,8.33333333333333,6,10,1.60128153805087,8,8,8,0,8.33333333333333,6,10,1.60128153805087,0,2.00219124314841,2.82842712474619,0.738790472371199,"F4_R25",0.328024213198112,-0.342004264885899,1.17015005204386,0.271391979495859,-1.3423754352168,0.0851865446351296,0.501611170784103,463,"medium","4F_medium",3
29,"-1:-2|2:0",2,TRUE,1,0,1,"mixed",2.11803398874989,2.23606797749979,2.5,3,2,2.35483170074866,3,8,1,25,0,TRUE,25,33554432,0,1,25,25,0.25,1,0.25,0,0.43373619897468,5.5,4,6,0.86747239794936,6,6,6,0,5.5,4,6,0.86747239794936,0.25,2.35483170074866,2.82842712474619,0.426792094261082,"F2_R25",1.19753630407616,0.786850975951619,-0.536127927905471,0.762372364390212,1.39805059083906,3.60868230735159,0.906976744186046,4,"very_hard","2F_hard",4
7,"-2:-2|-2:0",2,TRUE,1,1,0,"mixed",2.41421356237309,2.82842712474619,3,4,2,2.2761423749154,3,8,1,25,0,TRUE,25,33554432,0,1,25,25,0.25,1,0.25,0,0.43373619897468,5.5,4,6,0.86747239794936,6,6,6,0,5.5,4,6,0.86747239794936,0.25,2.2761423749154,2.82842712474619,0.478292623476201,"F2_R25",0.970610262720523,0.786850975951619,-0.536127927905471,0.762372364390212,1.39805059083906,3.38175626599595,0.86046511627907,7,"very_hard","2F_hard",5
38,"-2:0|-1:0",2,TRUE,2,0,0,"axis_only",1.5,2,1.5,2,2,1.33333333333333,1,4,2,25,0,TRUE,25,33554432,0,1,25,25,0.25,2,0.166666666666667,0.0833333333333333,0.596113387342175,5.5,2,6,1.19222677468435,4,2,6,2.02030508910442,5.5,2,6,1.19222677468435,0.166666666666667,1.33333333333333,2,0.577350269189626,"F2_R25",-1.7482835808214,-2.22370927986327,1.8228349548786,-1.00312153209238,-1.39805059083906,-4.55033002873751,0.0697674418604651,41,"very_easy","2F_easy",6
426,"-2:-2|-1:-2|0:-1|2:2",4,TRUE,1,2,1,"mixed",2.22323055674804,2.82842712474619,3,4,2,2.00219124314841,1,8,1,25,0,TRUE,25,33554432,0,1,25,25,0.833333333333333,2,0.583333333333333,0.25,0.800640769025436,8.33333333333333,6,10,1.60128153805087,8,8,8,0,8.33333333333333,6,10,1.60128153805087,0,2.00219124314841,2.82842712474619,0.738790472371199,"F4_R25",0.328024213198112,-0.342004264885899,1.17015005204386,0.271391979495859,-1.3423754352168,0.0851865446351296,0.501611170784103,463,"medium","4F_medium",7
1346,"-1:-2|-1:-1|0:-1|0:2",4,TRUE,2,1,1,"mixed",1.66257038496822,2.23606797749979,2,3,2,1.57147766421189,1,8,1,25,0,TRUE,25,33554432,0,1,25,25,0.833333333333333,2,0.583333333333333,0.25,0.800640769025436,8.33333333333333,6,10,1.60128153805087,7,6,8,1.01015254455221,8.33333333333333,6,10,1.60128153805087,0,1.57147766421189,2.23606797749979,0.506028052453785,"F4_R25",-2.44521466768698,-1.39051734012819,1.17015005204386,0.271391979495859,-1.3423754352168,-3.73656541149225,0.101503759398496,833,"very_easy","4F_easy",8
722,"-1:-1|1:-1|2:-2|2:1",4,TRUE,0,3,1,"off_axis",1.97323055674804,2.82842712474619,2.75,4,2,2.0607698869111,2,8,1,25,0,TRUE,25,33554432,0,1,25,25,0.833333333333333,2,0.583333333333333,0.25,0.800640769025436,8.33333333333333,6,10,1.60128153805087,10,10,10,0,8.33333333333333,6,10,1.60128153805087,0,2.0607698869111,2.82842712474619,0.530437422427522,"F4_R25",0.705194983790766,1.75502188559869,1.17015005204386,0.271391979495859,-0.134755835195509,3.76700306573367,0.902792696025779,87,"very_hard","4F_hard",9
1112,"-1:-2|-1:-1|0:-2|0:2",4,TRUE,2,1,1,"mixed",1.91257038496822,2.23606797749979,2.25,3,2,1.57147766421189,1,8,1,25,0,TRUE,25,33554432,0,1,25,25,0.833333333333333,2,0.583333333333333,0.25,0.800640769025436,8.33333333333333,6,10,1.60128153805087,7,6,8,1.01015254455221,8.33333333333333,6,10,1.60128153805087,0,1.57147766421189,2.23606797749979,0.506028052453785,"F4_R25",-2.44521466768698,-1.39051734012819,1.17015005204386,0.271391979495859,-1.3423754352168,-3.73656541149225,0.101503759398496,833,"very_easy","4F_easy",10
