"family_id","canonical_key","n_flippers","valid","n_axis","n_diagonal","n_oblique","geometry_class","mean_distance_from_s","max_distance_from_s","mean_manhattan_from_s","max_manhattan_from_s","max_chebyshev_from_s","mean_pairwise_distance","adjacent_components","n_orientations","symmetry_count"
40,"-1:0|0:-2",2,TRUE,2,0,0,"axis_only",1.5,2,1.5,2,2,1.74535599249993,2,8,1
41,"-1:-1|0:2",2,TRUE,1,1,0,"mixed",1.70710678118655,2,2,2,2,1.88342717995763,2,8,1
42,"-1:0|2:0",2,TRUE,2,0,0,"axis_only",1.5,2,1.5,2,2,1.66666666666667,2,4,2
43,"-2:0|2:0",2,TRUE,2,0,0,"axis_only",2,2,2,2,2,1.66666666666667,2,2,4
44,"-1:-1|-1:0",2,TRUE,1,1,0,"mixed",1.20710678118655,1.4142135623731,1.5,2,1,1.1380711874577,1,8,1
45,"-1:-1|-1:1",2,TRUE,0,2,0,"diagonal_only",1.4142135623731,1.4142135623731,2,2,1,1.60947570824873,1,4,2
46,"-1:-1|0:1",2,TRUE,1,1,0,"mixed",1.20710678118655,1.4142135623731,1.5,2,1,1.5500938466243,1,8,1
47,"-1:-1|1:1",2,TRUE,0,2,0,"diagonal_only",1.4142135623731,1.4142135623731,2,2,1,1.88561808316413,1,2,4
48,"-1:0|0:-1",2,TRUE,2,0,0,"axis_only",1,1,1,1,1,1.1380711874577,1,4,2
49,"-1:0|1:0",2,TRUE,2,0,0,"axis_only",1,1,1,1,1,1.33333333333333,1,2,4
50,"-2:-2|-1:-2|0:-2",3,TRUE,1,1,1,"mixed",2.35483170074866,2.82842712474619,3,4,2,1.844082517041,2,8,1
51,"-1:-2|1:-2|2:-2",3,TRUE,0,1,2,"off_axis",2.43352102658192,2.82842712474619,3.33333333333333,4,2,2.0500938466243,3,8,1
52,"-2:-2|-1:-2|2:-2",3,TRUE,0,2,1,"off_axis",2.63097407566406,2.82842712474619,3.66666666666667,4,2,1.98215370449869,2,8,1
53,"-2:-2|-2:-1|-1:-2",3,TRUE,0,1,2,"off_axis",2.43352102658192,2.82842712474619,3.33333333333333,4,2,1.78579610701981,2,4,2
54,"-2:-2|-1:-2|-1:-1",3,TRUE,0,2,1,"off_axis",2.15956955487303,2.82842712474619,3,4,2,1.64882037116536,1,8,1
55,"-2:-2|-1:-2|0:-1",3,TRUE,1,1,1,"mixed",2.02149836741533,2.82842712474619,2.66666666666667,4,2,1.78579610701981,1,8,1
56,"-1:-1|1:-2|2:-2",3,TRUE,0,2,1,"off_axis",2.15956955487303,2.82842712474619,3,4,2,1.99180743660311,2,8,1
57,"-2:-1|1:-2|2:-2",3,TRUE,0,1,2,"off_axis",2.43352102658192,2.82842712474619,3.33333333333333,4,2,1.99180743660311,2,8,1
58,"-2:-2|-2:-1|0:-2",3,TRUE,1,1,1,"mixed",2.35483170074866,2.82842712474619,3,4,2,2.0500938466243,3,8,1
59,"-2:-2|-1:-2|-1:0",3,TRUE,1,1,1,"mixed",2.02149836741533,2.82842712474619,2.66666666666667,4,2,1.88342717995763,2,8,1
60,"-1:0|1:-2|2:-2",3,TRUE,1,1,1,"mixed",2.02149836741533,2.82842712474619,2.66666666666667,4,2,2.12022489195639,2,8,1
61,"-2:-2|-1:-2|2:0",3,TRUE,1,1,1,"mixed",2.35483170074866,2.82842712474619,3,4,2,2.18816503408199,3,8,1
62,"-1:-2|2:-2|2:-1",3,TRUE,0,1,2,"off_axis",2.43352102658192,2.82842712474619,3.33333333333333,4,2,2.08943850954093,3,8,1
63,"-1:-1|2:-2|2:-1",3,TRUE,0,2,1,"off_axis",2.15956955487303,2.82842712474619,3,4,2,1.95246277368648,2,8,1
64,"-1:0|2:-2|2:-1",3,TRUE,1,1,1,"mixed",2.02149836741533,2.82842712474619,2.66666666666667,4,2,2.02149836741533,2,8,1
65,"-1:-1|1:2|2:2",3,TRUE,0,2,1,"off_axis",2.15956955487303,2.82842712474619,3,4,2,2.18926048568524,2,8,1
66,"-1:-2|2:1|2:2",3,TRUE,0,1,2,"off_axis",2.43352102658192,2.82842712474619,3.33333333333333,4,2,2.22750969699862,3,8,1
67,"-2:-2|-2:-1|2:-2",3,TRUE,0,2,1,"off_axis",2.63097407566406,2.82842712474619,3.66666666666667,4,2,1.88452263156088,2,8,1
68,"-2:-1|2:-2|2:-1",3,TRUE,0,1,2,"off_axis",2.43352102658192,2.82842712474619,3.33333333333333,4,2,1.78579610701981,2,8,1
69,"-2:-2|-1:-2|0:2",3,TRUE,1,1,1,"mixed",2.35483170074866,2.82842712474619,3,4,2,1.95246277368648,2,8,1
70,"-1:-2|1:2|2:2",3,TRUE,0,1,2,"off_axis",2.43352102658192,2.82842712474619,3.33333333333333,4,2,2.12878317245756,3,8,1
71,"-2:-2|-1:-2|2:2",3,TRUE,0,2,1,"off_axis",2.63097407566406,2.82842712474619,3.66666666666667,4,2,2.09053396114418,2,8,1
72,"-1:-2|0:-2|2:-2",3,TRUE,1,1,1,"mixed",2.35483170074866,2.82842712474619,3,4,2,2.01074918370766,3,8,1
73,"-2:-2|-2:0|-2:2",3,TRUE,1,2,0,"mixed",2.55228474983079,2.82842712474619,3.33333333333333,4,2,2.10947570824873,3,4,2
74,"-2:-2|-1:-1|0:-2",3,TRUE,1,2,0,"mixed",2.08088022903976,2.82842712474619,2.66666666666667,4,2,1.84517796864425,1,8,1
75,"-2:-2|-2:0|-1:0",3,TRUE,2,1,0,"mixed",1.94280904158206,2.82842712474619,2.33333333333333,4,2,1.844082517041,2,8,1
76,"-1:-1|0:-2|2:-2",3,TRUE,1,2,0,"mixed",2.08088022903976,2.82842712474619,2.66666666666667,4,2,1.98215370449869,2,8,1
77,"-2:-1|0:-2|2:-2",3,TRUE,1,1,1,"mixed",2.35483170074866,2.82842712474619,3,4,2,2.11912944035314,3,8,1
78,"-2:-2|-2:0|0:-2",3,TRUE,2,1,0,"mixed",2.2761423749154,2.82842712474619,2.66666666666667,4,2,2.2761423749154,4,4,2
79,"-2:-2|-1:0|0:-2",3,TRUE,2,1,0,"mixed",1.94280904158206,2.82842712474619,2.33333333333333,4,2,2.0500938466243,3,8,1
80,"-1:0|0:-2|2:-2",3,TRUE,2,1,0,"mixed",1.94280904158206,2.82842712474619,2.33333333333333,4,2,2.14882037116536,3,8,1
81,"-2:-2|-2:0|0:2",3,TRUE,2,1,0,"mixed",2.2761423749154,2.82842712474619,2.66666666666667,4,2,2.31548703783203,4,8,1
82,"-1:-2|2:-2|2:0",3,TRUE,1,1,1,"mixed",2.35483170074866,2.82842712474619,3,4,2,2.31548703783203,4,8,1
83,"-1:-1|2:-2|2:0",3,TRUE,1,2,0,"mixed",2.08088022903976,2.82842712474619,2.66666666666667,4,2,2.11912944035314,3,8,1
84,"-1:0|2:-2|2:0",3,TRUE,2,1,0,"mixed",1.94280904158206,2.82842712474619,2.33333333333333,4,2,2.10947570824873,3,8,1
85,"-1:-1|0:2|2:2",3,TRUE,1,2,0,"mixed",2.08088022903976,2.82842712474619,2.66666666666667,4,2,2.21785596489421,3,8,1
86,"-1:-2|2:0|2:2",3,TRUE,1,1,1,"mixed",2.35483170074866,2.82842712474619,3,4,2,2.35483170074866,4,8,1
87,"-2:-2|-2:0|2:-2",3,TRUE,1,2,0,"mixed",2.55228474983079,2.82842712474619,3.33333333333333,4,2,2.14882037116536,3,8,1
88,"-2:-1|2:-2|2:0",3,TRUE,1,1,1,"mixed",2.35483170074866,2.82842712474619,3,4,2,1.98215370449869,2,8,1
89,"-2:-2|-2:0|2:0",3,TRUE,2,1,0,"mixed",2.2761423749154,2.82842712474619,2.66666666666667,4,2,2.01074918370766,3,8,1
90,"-1:-2|0:2|2:2",3,TRUE,1,1,1,"mixed",2.35483170074866,2.82842712474619,3,4,2,2.11912944035314,3,8,1
91,"-2:-2|-2:0|2:2",3,TRUE,1,2,0,"mixed",2.55228474983079,2.82842712474619,3.33333333333333,4,2,2.21785596489421,3,8,1
92,"-1:-2|1:-1|2:-2",3,TRUE,0,2,1,"off_axis",2.15956955487303,2.82842712474619,3,4,2,2.02149836741533,2,8,1
93,"-1:-2|0:-1|2:-2",3,TRUE,1,1,1,"mixed",2.02149836741533,2.82842712474619,2.66666666666667,4,2,1.95246277368648,2,8,1
94,"-1:-2|-1:-1|2:-2",3,TRUE,0,2,1,"off_axis",2.15956955487303,2.82842712474619,3,4,2,1.95246277368648,2,8,1
95,"-2:-1|-1:-2|2:-2",3,TRUE,0,1,2,"off_axis",2.43352102658192,2.82842712474619,3.33333333333333,4,2,2.02149836741533,2,8,1
96,"-1:-2|1:0|2:-2",3,TRUE,1,1,1,"mixed",2.02149836741533,2.82842712474619,2.66666666666667,4,2,2.18816503408199,3,8,1
97,"-1:-2|-1:0|2:-2",3,TRUE,1,1,1,"mixed",2.02149836741533,2.82842712474619,2.66666666666667,4,2,2.14882037116536,3,8,1
98,"-2:-1|-2:2|0:-2",3,TRUE,1,1,1,"mixed",2.35483170074866,2.82842712474619,3,4,2,2.25610517620759,4,8,1
