"family_id","canonical_key","n_flippers","valid","n_axis","n_diagonal","n_oblique","geometry_class","mean_distance_from_s","max_distance_from_s","mean_manhattan_from_s","max_manhattan_from_s","max_chebyshev_from_s","mean_pairwise_distance","adjacent_components","n_orientations","symmetry_count","gf2_rank","nullity","full_rank","reachable_states_log2","reachable_states","solutions_per_reachable_log2","solutions_per_reachable","distinct_move_rows","distinct_move_columns"
115,"-2:-1|2:-2|2:2",3,TRUE,0,2,1,"off_axis",2.63097407566406,2.82842712474619,3.66666666666667,4,2,2.09053396114418,2,8,1,20,5,FALSE,20,1048576,5,32,25,25
116,"-2:-2|-2:2|2:0",3,TRUE,1,2,0,"mixed",2.55228474983079,2.82842712474619,3.33333333333333,4,2,2.18816503408199,3,4,2,24,1,FALSE,24,16777216,1,2,25,25
117,"-2:-2|-1:-1|-1:0",3,TRUE,1,2,0,"mixed",1.74754689570643,2.82842712474619,2.33333333333333,4,2,1.64882037116536,1,8,1,24,1,FALSE,24,16777216,1,2,25,25
118,"-1:-1|1:-1|2:-2",3,TRUE,0,3,0,"diagonal_only",1.88561808316413,2.82842712474619,2.66666666666667,4,2,1.88452263156088,1,8,1,24,1,FALSE,24,16777216,1,2,25,25
119,"-2:-1|1:-1|2:-2",3,TRUE,0,2,1,"off_axis",2.15956955487303,2.82842712474619,3,4,2,1.88452263156088,1,8,1,24,1,FALSE,24,16777216,1,2,25,25
120,"-1:0|1:-1|2:-2",3,TRUE,1,2,0,"mixed",1.74754689570643,2.82842712474619,2.33333333333333,4,2,1.95355822528973,1,8,1,24,1,FALSE,24,16777216,1,2,25,25
121,"-2:-2|-1:-1|0:2",3,TRUE,1,2,0,"mixed",2.08088022903976,2.82842712474619,2.66666666666667,4,2,2.02149836741533,2,8,1,24,1,FALSE,24,16777216,1,2,25,25
122,"-1:-1|1:1|2:2",3,TRUE,0,3,0,"diagonal_only",1.88561808316413,2.82842712474619,2.66666666666667,4,2,2.12132034355964,1,4,2,20,5,FALSE,20,1048576,5,32,25,25
123,"-1:-2|1:1|2:2",3,TRUE,0,2,1,"off_axis",2.15956955487303,2.82842712474619,3,4,2,2.15956955487303,2,8,1,24,1,FALSE,24,16777216,1,2,25,25
124,"-2:-2|-1:-1|2:2",3,TRUE,0,3,0,"diagonal_only",2.35702260395516,2.82842712474619,3.33333333333333,4,2,2.12132034355964,1,4,2,20,5,FALSE,20,1048576,5,32,25,25
125,"-1:-1|0:-1|2:-2",3,TRUE,1,2,0,"mixed",1.74754689570643,2.82842712474619,2.33333333333333,4,2,1.78579610701981,2,8,1,24,1,FALSE,24,16777216,1,2,25,25
126,"-2:-1|0:-1|2:-2",3,TRUE,1,1,1,"mixed",2.02149836741533,2.82842712474619,2.66666666666667,4,2,1.95246277368648,2,8,1,24,1,FALSE,24,16777216,1,2,25,25
127,"-2:-2|-1:0|0:-1",3,TRUE,2,1,0,"mixed",1.60947570824873,2.82842712474619,2,4,2,1.78579610701981,2,4,2,24,1,FALSE,24,16777216,1,2,25,25
128,"-1:0|0:-1|2:-2",3,TRUE,2,1,0,"mixed",1.60947570824873,2.82842712474619,2,4,2,1.88452263156088,2,8,1,20,5,FALSE,20,1048576,5,32,25,25
129,"-2:-2|-1:0|0:2",3,TRUE,2,1,0,"mixed",1.94280904158206,2.82842712474619,2.33333333333333,4,2,2.08943850954093,3,8,1,24,1,FALSE,24,16777216,1,2,25,25
130,"-1:-1|1:0|2:-2",3,TRUE,1,2,0,"mixed",1.74754689570643,2.82842712474619,2.33333333333333,4,2,1.99180743660311,2,8,1,24,1,FALSE,24,16777216,1,2,25,25
131,"-1:0|1:0|2:-2",3,TRUE,2,1,0,"mixed",1.60947570824873,2.82842712474619,2,4,2,1.98215370449869,2,8,1,24,1,FALSE,24,16777216,1,2,25,25
132,"-1:-1|0:1|2:2",3,TRUE,1,2,0,"mixed",1.74754689570643,2.82842712474619,2.33333333333333,4,2,2.09053396114418,2,8,1,24,1,FALSE,24,16777216,1,2,25,25
133,"-1:-2|1:0|2:2",3,TRUE,1,1,1,"mixed",2.02149836741533,2.82842712474619,2.66666666666667,4,2,2.22750969699862,3,8,1,16,9,FALSE,16,65536,9,512,25,25
134,"-2:-1|1:0|2:-2",3,TRUE,1,1,1,"mixed",2.02149836741533,2.82842712474619,2.66666666666667,4,2,1.99180743660311,2,8,1,20,5,FALSE,20,1048576,5,32,25,25
135,"-2:-2|-1:0|2:0",3,TRUE,2,1,0,"mixed",1.94280904158206,2.82842712474619,2.33333333333333,4,2,2.0500938466243,3,8,1,24,1,FALSE,24,16777216,1,2,25,25
